                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4879,                 3.1627,                  7.357,                 1.1054,                0.37339,                0.33167,                0.25209,                0.08385,                0.36281,                 0.3217,                0.24832,                0.06551,                 2.6056,                 2.5537,                   6.26,                 1.0575,              0.0006637,              0.0006637,              0.0006637
                      2,                 2.4763,                 2.9047,                 2.8745,                 1.1009,                 0.4306,                0.37905,                0.30832,                0.09799,                0.41738,                0.38653,                 0.3243,                0.09692,                 2.3916,                 2.8259,                  2.365,                 1.0395,              0.0013172,              0.0013172,              0.0013172
                      3,                 2.4295,                 2.8098,                 2.0555,                 1.1021,                0.48281,                0.37656,                0.31969,                0.10861,                 0.4924,                0.38404,                0.35663,                0.12916,                 2.3317,                 2.6196,                 2.0363,                 1.0301,              0.0019575,              0.0019575,              0.0019575
                      4,                 2.4397,                 2.8148,                 1.8465,                 1.1088,                0.45556,                0.44445,                0.39497,                0.13068,                 0.4996,                0.40399,                0.41833,                 0.1534,                  2.215,                 2.5012,                 2.1132,                0.99034,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.4091,                  2.775,                 1.7301,                 1.0739,                0.41333,                0.34612,                0.28049,                0.08976,                0.41979,                0.31421,                0.28642,                0.08076,                 2.2554,                 2.6178,                 2.1792,                 1.0042,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.3761,                 2.7748,                 1.7469,                 1.0747,                0.51118,                0.48767,                0.45313,                0.16087,                0.50477,                0.44638,                0.40268,                0.14886,                 2.2086,                 2.4291,                 2.4545,                0.99064,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.2954,                  2.637,                 1.6735,                 1.0741,                0.45114,                 0.4788,                0.39481,                0.14434,                0.44779,                0.41895,                0.38097,                0.12372,                 2.1556,                 2.5402,                 1.9525,                0.97907,               0.001901,               0.001901,               0.001901
                      8,                 2.2925,                  2.636,                 1.6402,                 1.0637,                0.53217,                0.43641,                0.41913,                 0.1507,                0.55923,                0.44888,                0.45029,                0.17047,                 2.2306,                 2.5166,                 1.8319,                0.97623,              0.0018812,              0.0018812,              0.0018812
