                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.1157,                 2.4789,                 1.3795,                 1.0238,                0.58074,                0.54364,                0.55377,                0.20841,                0.54449,                 0.4788,                0.47744,                0.15287,                 2.0377,                 2.3971,                 1.5056,                0.93874,              0.0017096,              0.0017096,              0.0017096
                     25,                 2.1258,                 2.5184,                 1.3917,                 1.0181,                 0.5827,                0.57357,                0.57215,                0.21508,                0.54995,                0.46633,                0.47219,                 0.1562,                 2.0984,                 2.4093,                 1.5529,                0.94693,              0.0016964,              0.0016964,              0.0016964
                     26,                 2.1155,                 2.5241,                 1.4232,                 1.0275,                0.57513,                0.53367,                 0.5165,                 0.1744,                0.49973,                0.44638,                0.39713,                 0.1182,                 2.1976,                 2.4508,                 2.0249,                0.98743,              0.0016832,              0.0016832,              0.0016832
                     27,                 2.0986,                 2.4793,                 1.3759,                  1.029,                0.57033,                 0.5528,                0.52861,                0.19236,                0.54549,                0.49377,                0.46994,                0.15806,                 2.1134,                  2.544,                 1.6551,                0.94794,                0.00167,                0.00167,                0.00167
                     28,                  2.119,                  2.476,                 1.3585,                 1.0165,                0.61277,                0.58354,                 0.5829,                0.22241,                0.52898,                0.50873,                0.49628,                0.15336,                  2.128,                 2.4641,                 1.6451,                0.94876,              0.0016568,              0.0016568,              0.0016568
                     29,                 2.0975,                 2.4181,                 1.3446,                 1.0106,                 0.5914,                0.58853,                0.59355,                0.21144,                0.49231,                0.47631,                0.41815,                 0.1208,                 2.1226,                 2.4567,                 1.8591,                0.94626,              0.0016436,              0.0016436,              0.0016436
                     30,                  2.132,                 2.5206,                 1.3525,                 1.0203,                0.61571,                 0.5985,                0.59248,                0.23147,                0.53001,                0.51372,                0.48123,                0.15705,                 2.0536,                 2.5089,                 1.4508,                 0.9391,              0.0016304,              0.0016304,              0.0016304
                     31,                 2.0974,                 2.4124,                 1.3213,                 1.0151,                0.60632,                0.56608,                0.56879,                0.21275,                0.50215,                0.46883,                0.43606,                0.14624,                 2.0711,                 2.4269,                 1.5422,                0.93737,              0.0016172,              0.0016172,              0.0016172
                     32,                 2.0784,                 2.4552,                 1.3436,                 1.0107,                0.61316,                0.60599,                0.58175,                0.21897,                0.58323,                0.54091,                  0.529,                0.16413,                 2.0639,                 2.3716,                 1.5991,                0.94871,               0.001604,               0.001604,               0.001604
                     33,                 2.0616,                 2.4056,                 1.3014,                 1.0125,                0.59695,                0.57107,                0.54615,                0.19874,                0.57119,                0.55112,                0.52146,                0.18073,                 2.1153,                 2.4965,                 1.6484,                0.95758,              0.0015908,              0.0015908,              0.0015908
                     34,                 2.0825,                 2.4167,                 1.3193,                 1.0203,                0.58249,                0.61347,                0.57674,                0.20094,                0.50672,                0.53367,                0.45955,                0.13609,                 2.1497,                 2.4948,                 1.6952,                0.96027,              0.0015776,              0.0015776,              0.0015776
