                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                    1.7,                 2.1413,                0.96871,                0.91391,                0.72313,                0.64052,                0.66608,                0.31919,                0.62316,                0.55661,                0.55781,                0.20833,                 1.9547,                 2.7068,                 1.2236,                0.97527,              0.0007064,              0.0007064,              0.0007064
                    101,                 1.6174,                 2.0472,                0.90688,                0.90143,                0.72053,                0.61506,                0.64824,                0.31584,                 0.6525,                0.51307,                0.53867,                0.19007,                 1.9987,                 2.8076,                 1.2458,                0.97305,              0.0006932,              0.0006932,              0.0006932
                    102,                 1.6561,                 2.0329,                0.90476,                 0.9116,                0.68703,                0.63725,                0.64035,                0.31631,                0.66194,                 0.4902,                0.52626,                0.19044,                 1.9273,                  2.707,                 1.2449,                0.97254,                0.00068,                0.00068,                0.00068
                    103,                 1.7503,                 2.1294,                0.96734,                0.90626,                0.72915,                0.61765,                0.65264,                0.31607,                0.64661,                0.51634,                0.53908,                0.18758,                 1.9674,                 2.7977,                 1.2187,                0.97793,              0.0006668,              0.0006668,              0.0006668
                    104,                 1.6311,                 1.9334,                0.94214,                0.89468,                0.70935,                0.65402,                 0.6622,                0.30606,                0.73667,                0.50327,                 0.5523,                0.19332,                 1.9883,                 2.9371,                 1.1543,                0.98457,              0.0006536,              0.0006536,              0.0006536
                    105,                 1.6406,                 2.0014,                 0.9106,                0.90911,                0.75427,                0.63196,                0.66981,                 0.3179,                0.73093,                0.52941,                0.57497,                0.19544,                 2.0017,                 2.8642,                 1.1888,                0.97899,              0.0006404,              0.0006404,              0.0006404
                    106,                 1.6245,                 2.1019,                0.91146,                0.90897,                0.73032,                 0.6372,                0.66875,                0.32647,                0.66818,                0.56536,                0.56846,                0.21329,                 1.9296,                 2.7736,                 1.1934,                0.96741,              0.0006272,              0.0006272,              0.0006272
                    107,                 1.6321,                 1.9616,                0.89911,                0.90173,                0.69431,                0.63072,                0.63963,                0.33127,                0.66993,                0.55882,                0.58137,                0.20221,                 1.9227,                 2.8294,                 1.1621,                0.95929,               0.000614,               0.000614,               0.000614
                    108,                 1.6607,                 2.0531,                0.91805,                0.90018,                0.74644,                0.61111,                0.65727,                0.32372,                0.66378,                0.51307,                 0.5546,                 0.2027,                 1.8956,                 2.6675,                 1.2289,                0.95945,              0.0006008,              0.0006008,              0.0006008
                    109,                 1.6354,                 2.0781,                0.92824,                0.90988,                0.75417,                0.66171,                0.67257,                0.32573,                0.70521,                0.57516,                0.60258,                0.22168,                  1.909,                 2.6734,                 1.2159,                0.96619,              0.0005876,              0.0005876,              0.0005876
                    110,                 1.6539,                 2.0143,                0.90094,                0.90905,                0.71434,                0.62745,                0.66944,                 0.3427,                0.63752,                0.56863,                0.58304,                0.22702,                 1.9177,                 2.6742,                 1.2975,                0.97486,              0.0005744,              0.0005744,              0.0005744
                    111,                  1.576,                 2.0157,                0.90637,                0.90179,                0.70953,                0.62745,                0.64952,                 0.3209,                0.63111,                0.50327,                0.53512,                0.19066,                 2.0166,                 2.8388,                 1.1737,                0.98194,              0.0005612,              0.0005612,              0.0005612
                    112,                 1.6165,                 2.0254,                0.89365,                0.90305,                0.72324,                0.65033,                0.66325,                0.33082,                0.62214,                0.56209,                0.56432,                0.21124,                 1.9638,                 2.6907,                 1.1897,                0.97008,               0.000548,               0.000548,               0.000548
                    113,                 1.6365,                  1.967,                0.88746,                0.89014,                0.73767,                0.65245,                0.68125,                0.32197,                0.72234,                0.46732,                0.53373,                0.19275,                  1.936,                 2.6387,                 1.1835,                0.96027,              0.0005348,              0.0005348,              0.0005348
                    114,                 1.6322,                 2.0243,                0.90952,                0.89657,                0.72879,                0.60595,                0.65424,                0.33362,                0.71163,                0.47386,                0.54379,                 0.2034,                 1.9288,                 2.5959,                 1.1647,                0.95748,              0.0005216,              0.0005216,              0.0005216
                    115,                 1.5872,                 2.0172,                 0.8827,                0.89301,                 0.7456,                0.65033,                 0.6772,                0.34626,                0.63907,                0.52655,                0.55404,                0.20656,                 1.8725,                 2.6749,                 1.1116,                0.95444,              0.0005084,              0.0005084,              0.0005084
                    116,                 1.6079,                 1.9475,                0.89923,                0.89365,                0.77857,                0.63072,                0.68238,                0.34251,                0.68072,                0.53922,                0.57156,                0.21754,                  1.887,                 2.6166,                 1.1674,                 0.9632,              0.0004952,              0.0004952,              0.0004952
                    117,                 1.5859,                 1.9415,                0.89198,                0.89593,                0.72784,                0.65033,                0.68062,                0.34468,                0.66055,                0.51634,                0.56736,                0.21289,                 1.8688,                 2.6299,                  1.171,                0.95156,               0.000482,               0.000482,               0.000482
                    118,                 1.5963,                 2.0415,                0.87894,                 0.8897,                0.76547,                0.63072,                0.67674,                0.33396,                0.69437,                0.51307,                0.57414,                0.20242,                 1.9328,                 2.7001,                 1.2219,                 0.9648,              0.0004688,              0.0004688,              0.0004688
                    119,                 1.5699,                 2.0218,                0.85341,                0.89355,                0.78049,                 0.6507,                0.67583,                0.32092,                0.69111,                0.54902,                0.57158,                0.18791,                 1.9427,                 2.8082,                 1.1465,                0.96703,              0.0004556,              0.0004556,              0.0004556
                    120,                 1.5694,                 1.9959,                0.85902,                0.89191,                0.74031,                0.65213,                0.67483,                0.33298,                0.64946,                0.57516,                0.58328,                0.21726,                  1.958,                 2.8354,                 1.1997,                0.97402,              0.0004424,              0.0004424,              0.0004424
                    121,                 1.5364,                 1.9288,                0.85057,                0.88675,                0.72747,                0.65033,                0.67227,                0.34626,                 0.6536,                0.56536,                0.59225,                0.22293,                 1.9176,                 2.6749,                 1.2699,                0.98404,              0.0004292,              0.0004292,              0.0004292
                    122,                  1.538,                 1.9431,                0.83346,                0.87648,                0.75548,                0.65359,                0.67541,                0.34756,                0.73232,                0.54575,                0.60155,                0.23078,                 1.8739,                 2.6317,                 1.2027,                0.96855,               0.000416,               0.000416,               0.000416
                    123,                  1.562,                 2.0169,                0.84542,                 0.8915,                0.75502,                0.68488,                0.71509,                0.36158,                 0.6182,                0.55882,                0.57161,                0.21621,                 1.8674,                 2.6577,                 1.1383,                0.94956,              0.0004028,              0.0004028,              0.0004028
                    124,                 1.5547,                 1.9781,                0.85444,                0.88539,                0.73254,                 0.6634,                0.68095,                0.34507,                0.72769,                0.55017,                0.59751,                0.21601,                 1.9227,                 2.6932,                 1.1896,                0.96218,              0.0003896,              0.0003896,              0.0003896
                    125,                 1.5446,                 1.9754,                0.86347,                0.88314,                0.77399,                0.63792,                0.68652,                0.35327,                0.69918,                0.56536,                0.60079,                0.22349,                 1.8667,                 2.6475,                  1.137,                0.95569,              0.0003764,              0.0003764,              0.0003764
                    126,                 1.5538,                 1.9757,                0.83823,                0.88744,                0.74789,                0.66894,                0.70365,                0.35567,                0.69576,                0.55882,                0.59988,                0.23164,                 1.8209,                 2.6001,                 1.2065,                0.94975,              0.0003632,              0.0003632,              0.0003632
                    127,                 1.5024,                 1.8907,                0.82886,                0.88924,                 0.7624,                0.66064,                0.69558,                0.35456,                0.72711,                0.54575,                0.60786,                0.23367,                 1.8502,                 2.6498,                 1.1586,                0.94877,                0.00035,                0.00035,                0.00035
                    128,                 1.5379,                 1.9407,                0.82888,                0.88539,                0.76392,                0.66013,                0.71102,                0.36587,                0.76778,                0.55229,                0.63055,                0.24611,                 1.8379,                  2.645,                 1.1029,                0.94699,              0.0003368,              0.0003368,              0.0003368
                    129,                 1.5154,                 1.9232,                 0.8237,                0.88838,                 0.7762,                0.63399,                0.68963,                 0.3462,                0.66369,                0.53268,                0.55481,                0.20239,                 1.8759,                 2.6443,                 1.2082,                0.95865,              0.0003236,              0.0003236,              0.0003236
                    130,                 1.4475,                 1.8917,                0.79437,                0.86835,                0.77259,                 0.6634,                0.69773,                0.35734,                0.69963,                0.58612,                0.60769,                0.22129,                 1.8406,                 2.7302,                 1.0964,                 0.9522,              0.0003104,              0.0003104,              0.0003104
                    131,                 1.5193,                 1.8842,                0.81733,                0.88726,                0.76382,                0.66585,                0.69567,                0.35618,                0.69449,                0.55229,                0.59705,                0.23077,                 1.8549,                   2.71,                 1.0958,                0.95741,              0.0002972,              0.0002972,              0.0002972
                    132,                 1.4791,                 1.9529,                0.81816,                0.89134,                0.82834,                0.63399,                0.70644,                0.36314,                0.72208,                0.55229,                0.60544,                0.23628,                 1.8536,                 2.6133,                 1.1522,                0.95835,               0.000284,               0.000284,               0.000284
                    133,                 1.5187,                 1.9188,                0.82623,                0.87792,                0.76847,                0.65033,                0.69458,                0.37359,                0.70476,                0.54575,                0.59821,                0.22803,                 1.8074,                 2.6804,                 1.1219,                0.94141,              0.0002708,              0.0002708,              0.0002708
                    134,                 1.5456,                 1.9406,                0.82148,                 0.8884,                0.78559,                0.65359,                0.70412,                0.36811,                0.69458,                0.55882,                0.58601,                0.21049,                 1.8155,                 2.7496,                 1.1291,                0.94839,              0.0002576,              0.0002576,              0.0002576
                    135,                 1.5129,                 1.8862,                0.80719,                0.87569,                 0.8056,                0.61438,                 0.6861,                0.36093,                0.72018,                0.55512,                0.60054,                0.21942,                 1.8435,                 2.6531,                 1.1834,                0.95182,              0.0002444,              0.0002444,              0.0002444
                    136,                 1.4835,                 1.9175,                0.78124,                0.87838,                0.79092,                0.67647,                0.70496,                0.36284,                0.68851,                0.57787,                0.59919,                0.22148,                 1.8629,                 2.7542,                 1.1741,                0.95261,              0.0002312,              0.0002312,              0.0002312
                    137,                 1.5068,                  1.886,                0.81306,                0.88619,                0.78192,                0.65686,                0.70337,                0.37353,                0.67606,                0.56863,                0.60312,                0.23656,                 1.8097,                 2.7578,                 1.1031,                0.94786,               0.000218,               0.000218,               0.000218
                    138,                 1.4382,                 1.7932,                 0.7816,                0.87901,                0.75974,                0.67647,                0.70841,                0.36494,                0.72567,                0.55229,                0.60449,                0.22115,                 1.8388,                 2.7475,                 1.1393,                0.94631,              0.0002048,              0.0002048,              0.0002048
                    139,                 1.4868,                 1.8581,                0.78306,                0.88959,                0.80728,                0.62971,                0.69057,                0.36685,                0.73274,                 0.5817,                0.63008,                0.23596,                 1.8578,                 2.7394,                 1.1536,                0.95038,              0.0001916,              0.0001916,              0.0001916
                    140,                 1.4726,                  1.863,                0.81599,                0.87668,                0.74984,                 0.6661,                0.69943,                0.37087,                0.72937,                0.52614,                0.60065,                0.22247,                 1.8577,                 2.7503,                 1.1606,                0.94953,              0.0001784,              0.0001784,              0.0001784
                    141,                 1.4865,                 1.9934,                 0.8235,                 0.9025,                 0.7704,                0.64694,                0.70906,                0.36272,                0.78113,                0.52288,                0.58602,                0.23002,                 1.8434,                 2.7803,                 1.2064,                0.94923,              0.0001652,              0.0001652,              0.0001652
                    142,                 1.4649,                 1.9558,                0.78387,                0.89706,                0.72741,                0.68627,                0.70793,                0.37043,                0.74264,                0.56863,                0.61782,                0.23552,                 1.8094,                 2.7599,                 1.1523,                0.93662,               0.000152,               0.000152,               0.000152
                    143,                  1.427,                  1.886,                0.74904,                0.88059,                0.76003,                0.66013,                 0.6997,                 0.3679,                0.72701,                0.52614,                0.57823,                0.21379,                 1.8319,                 2.7081,                 1.1283,                0.93927,              0.0001388,              0.0001388,              0.0001388
                    144,                 1.3969,                 1.9078,                0.74569,                0.88465,                0.76663,                0.65033,                0.69671,                0.36918,                0.70712,                0.54575,                 0.5877,                0.21939,                 1.8358,                 2.7864,                  1.154,                0.94491,              0.0001256,              0.0001256,              0.0001256
                    145,                 1.3905,                 1.8843,                0.74464,                0.87999,                0.78179,                 0.6732,                0.70507,                 0.3705,                 0.7059,                0.55691,                0.59429,                0.21836,                 1.8223,                 2.8742,                 1.1098,                0.94044,              0.0001124,              0.0001124,              0.0001124
                    146,                 1.3971,                 1.9166,                0.73719,                0.88779,                0.80539,                0.66013,                0.70526,                0.37913,                0.72038,                0.55882,                 0.5942,                0.21279,                 1.8328,                 2.8087,                  1.151,                 0.9434,               9.92e-05,               9.92e-05,               9.92e-05
                    147,                 1.3547,                 1.8973,                0.72197,                0.87865,                 0.8202,                0.64104,                0.70957,                0.37804,                0.72857,                0.57018,                0.60381,                0.22725,                 1.8411,                 2.7789,                 1.1633,                0.94465,                8.6e-05,                8.6e-05,                8.6e-05
                    148,                 1.3842,                 1.8477,                0.72392,                0.87869,                 0.8083,                0.64706,                0.69871,                 0.3774,                0.71101,                0.56863,                 0.5972,                0.22144,                 1.8349,                  2.839,                 1.1116,                0.94541,               7.28e-05,               7.28e-05,               7.28e-05
                    149,                 1.3575,                 1.8001,                0.72071,                0.87594,                0.80942,                0.65233,                0.69746,                0.37662,                0.71508,                0.56863,                0.59766,                0.22184,                 1.8496,                 2.8652,                 1.1329,                0.94882,               5.96e-05,               5.96e-05,               5.96e-05
                    150,                 1.3639,                 1.8464,                0.71824,                0.87745,                0.81993,                0.62745,                 0.6882,                0.37359,                0.72307,                0.55556,                0.58864,                0.22046,                 1.8391,                 2.8208,                 1.1232,                0.94671,               4.64e-05,               4.64e-05,               4.64e-05
