                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.1223,                 2.4773,                 1.4679,                 1.0151,                0.57121,                0.60458,                0.52353,                0.20904,                0.52748,                0.51073,                0.45542,                0.16216,                 2.1532,                  2.599,                 1.5563,                 1.0314,              0.0017096,              0.0017096,              0.0017096
                     25,                 2.1516,                 2.5376,                 1.4958,                 1.0159,                0.55406,                0.53268,                 0.5075,                0.19112,                0.50419,                0.46732,                0.41065,                0.13779,                 2.2113,                 2.8874,                 1.7444,                 1.0439,              0.0016964,              0.0016964,              0.0016964
                     26,                 2.0995,                 2.5975,                 1.4282,                 1.0239,                0.62687,                0.56209,                0.55076,                0.20513,                0.53835,                0.44444,                0.38831,                0.13052,                 2.2053,                 2.6446,                 1.7816,                 1.0422,              0.0016832,              0.0016832,              0.0016832
                     27,                 2.1006,                 2.4823,                 1.3766,                 1.0161,                0.60138,                0.59164,                0.54664,                0.22045,                0.57926,                0.50391,                0.49067,                0.18243,                 2.1888,                 2.7113,                 1.5373,                 1.0332,                0.00167,                0.00167,                0.00167
                     28,                 2.1213,                 2.4735,                 1.4393,                 1.0144,                0.50063,                0.50327,                0.45927,                0.16295,                0.39337,                0.38357,                0.31538,                0.09443,                 2.3975,                  2.699,                 1.6664,                 1.0748,              0.0016568,              0.0016568,              0.0016568
                     29,                 2.1296,                  2.487,                 1.3946,                 1.0269,                0.58563,                0.52941,                0.53518,                 0.2097,                0.52854,                0.42484,                0.41064,                0.14853,                 2.1839,                 2.7423,                 1.5745,                 1.0392,              0.0016436,              0.0016436,              0.0016436
                     30,                 2.0985,                 2.4777,                 1.3994,                 1.0062,                0.55133,                0.51961,                0.47964,                0.18942,                0.46151,                0.43973,                 0.3757,                0.13262,                 2.1344,                 2.8463,                 1.8509,                 1.0362,              0.0016304,              0.0016304,              0.0016304
                     31,                 2.0979,                 2.4699,                 1.3954,                 1.0163,                0.55939,                0.47386,                0.48516,                0.19028,                 0.4887,                0.41503,                0.39798,                0.12379,                 2.2801,                 2.9233,                 1.7942,                 1.0601,              0.0016172,              0.0016172,              0.0016172
                     32,                 2.0955,                 2.4366,                 1.3936,                 1.0008,                0.55109,                0.55556,                0.46954,                0.19168,                0.52082,                0.48366,                 0.4223,                0.13863,                 2.1595,                 2.6027,                 1.7212,                 1.0628,               0.001604,               0.001604,               0.001604
                     33,                   2.09,                 2.4591,                 1.3759,                0.99615,                0.57751,                0.51371,                0.50089,                0.19727,                0.55239,                0.38889,                0.38362,                0.12236,                 2.1934,                 2.6772,                 1.8942,                 1.0374,              0.0015908,              0.0015908,              0.0015908
                     34,                 2.0846,                 2.4485,                 1.3658,                 1.0001,                0.63397,                0.55471,                0.54279,                0.24739,                0.58219,                0.46732,                 0.4804,                0.18852,                  2.069,                 2.6571,                 1.4821,                 1.0215,              0.0015776,              0.0015776,              0.0015776
                     35,                 2.0771,                 2.4522,                 1.3748,                 0.9883,                0.68181,                 0.5719,                0.54718,                0.22393,                0.59581,                 0.4902,                0.45679,                0.13476,                 2.1347,                 2.6608,                 1.5862,                 1.0389,              0.0015644,              0.0015644,              0.0015644
                     36,                 2.0429,                   2.43,                 1.3441,                 0.9911,                  0.591,                0.49673,                0.49297,                0.19477,                0.50609,                0.40196,                0.40063,                0.13077,                 2.2273,                 2.8198,                  1.683,                 1.0494,              0.0015512,              0.0015512,              0.0015512
                     37,                 2.0762,                 2.4859,                 1.3909,                0.98116,                0.56856,                0.48039,                0.45946,                0.16904,                0.46156,                0.40196,                0.32239,                0.09668,                 2.1612,                 2.8381,                 1.7962,                 1.0391,               0.001538,               0.001538,               0.001538
                     38,                 2.0297,                 2.3909,                 1.3186,                0.98741,                0.59203,                0.53922,                0.51511,                0.19758,                0.51065,                0.43651,                0.40192,                0.12507,                  2.229,                 2.9223,                   1.68,                 1.0399,              0.0015248,              0.0015248,              0.0015248
                     39,                 2.0103,                 2.4297,                 1.2994,                 0.9714,                0.65037,                0.52614,                  0.546,                  0.228,                0.59133,                0.44771,                0.47172,                0.17236,                 2.1778,                 2.8147,                 1.5258,                 1.0499,              0.0015116,              0.0015116,              0.0015116
                     40,                 2.0412,                   2.36,                 1.2912,                0.97331,                0.64088,                0.57516,                0.55652,                0.21835,                0.54502,                0.49673,                0.46202,                0.14138,                  2.077,                 2.7595,                 1.6689,                 1.0003,              0.0014984,              0.0014984,              0.0014984
                     41,                 2.0303,                 2.3349,                 1.4134,                0.98366,                0.57843,                 0.4902,                0.45281,                0.18287,                0.46503,                0.40907,                0.36111,                0.11322,                 2.0536,                  2.694,                 1.8024,                 1.0044,              0.0014852,              0.0014852,              0.0014852
                     42,                 2.0307,                 2.4057,                 1.2702,                0.98659,                0.59716,                0.59477,                0.55931,                0.21937,                0.55302,                0.47386,                0.45141,                0.15298,                 2.2272,                  2.654,                 1.5427,                 1.0376,               0.001472,               0.001472,               0.001472
                     43,                 2.0108,                 2.3603,                 1.3148,                 0.9764,                0.64351,                0.56631,                0.54895,                0.22604,                0.52459,                0.41503,                0.40056,                0.13604,                 2.2243,                  2.727,                 1.4841,                 1.0543,              0.0014588,              0.0014588,              0.0014588
                     44,                 2.0413,                 2.4044,                 1.3075,                0.97965,                0.64854,                0.57516,                0.55521,                0.23138,                0.54865,                 0.4767,                 0.4204,                0.12492,                 2.2098,                 2.7904,                 1.5101,                 1.0411,              0.0014456,              0.0014456,              0.0014456
                     45,                 1.9957,                  2.372,                 1.2706,                0.96863,                0.66378,                0.51615,                0.53504,                0.21742,                0.57269,                0.49053,                0.49401,                 0.1844,                 2.1355,                 2.5952,                 1.5365,                 1.0275,              0.0014324,              0.0014324,              0.0014324
                     46,                 1.9649,                 2.3636,                 1.2951,                0.97404,                0.63354,                0.61111,                  0.566,                0.24205,                0.56609,                 0.5244,                0.47255,                0.15844,                 2.0461,                 2.9992,                 1.5617,                 1.0103,              0.0014192,              0.0014192,              0.0014192
                     47,                 1.9844,                 2.3189,                 1.2888,                0.97685,                0.59814,                0.60131,                 0.5781,                0.24838,                0.59502,                0.50654,                0.48227,                0.18691,                 2.1028,                 3.0208,                 1.5289,                 1.0104,               0.001406,               0.001406,               0.001406
                     48,                 1.9694,                 2.3043,                 1.2373,                0.96298,                0.68486,                0.63206,                 0.6119,                0.25266,                 0.6197,                0.52288,                 0.5091,                0.17573,                 2.0831,                 2.7289,                 1.5173,                 1.0096,              0.0013928,              0.0013928,              0.0013928
